Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 3.412115, 0.002000, 3.410115
2, 3.448271, 0.017545, 3.430726
3, 4.317803, 0.016334, 4.301469
4, 4.073737, 0.006680, 4.067057
5, 4.019035, 0.004068, 4.014967
6, 3.548137, 0.007035, 3.541102
7, 3.701042, 0.004992, 3.696049
8, 3.784318, 0.005997, 3.778321
9, 3.810108, 0.005594, 3.804514
10, 4.001866, 0.007645, 3.994221
11, 3.802525, 0.008853, 3.793673
12, 3.824202, 0.006075, 3.818127
13, 3.928283, 0.000000, 3.928283
14, 3.518949, 0.023339, 3.495611
15, 3.836618, 0.038342, 3.798276
16, 3.872444, 0.001003, 3.871442
17, 3.544550, 0.029960, 3.514590
18, 3.637070, 0.017774, 3.619296
19, 3.490539, 0.009319, 3.481220
20, 3.634044, 0.035255, 3.598789
21, 3.482336, 0.006004, 3.476332
22, 3.363717, 0.015774, 3.347943
23, 3.449774, 0.001997, 3.447777
24, 3.525357, 0.007575, 3.517782
25, 3.844872, 0.007000, 3.837873
26, 3.398618, 0.017703, 3.380915
27, 3.333584, 0.000991, 3.332592
28, 3.341150, 0.018586, 3.322563
29, 3.391204, 0.000000, 3.391204
30, 3.373395, 0.000000, 3.373395

=== Statistics (N=11) ===
Average Wall-Clock Time: 3.6570 s
Average ideal work: 3.6570 s
