Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 3.327878, 0.019822, 3.308056
2, 3.271843, 0.018603, 3.253240
3, 3.183469, 0.031246, 3.152223
4, 3.198134, 0.007936, 3.190198
5, 3.199509, 0.033260, 3.166249
6, 3.207973, 0.031265, 3.176707
7, 3.371759, 0.017621, 3.354137
8, 3.198706, 0.015627, 3.183079
9, 3.305851, 0.018009, 3.287843
10, 3.464209, 0.015633, 3.448576
11, 3.254161, 0.017606, 3.236555
12, 3.308603, 0.017706, 3.290897
13, 3.243522, 0.017712, 3.225810
14, 3.229552, 0.018643, 3.210909
15, 3.266189, 0.001998, 3.264191
16, 3.470323, 0.000000, 3.470323
17, 3.276178, 0.015934, 3.260245
18, 3.306707, 0.006045, 3.300662
19, 3.203020, 0.015627, 3.187393
20, 3.233189, 0.000996, 3.232193
21, 3.204066, 0.015616, 3.188450
22, 3.220323, 0.016633, 3.203691
23, 3.358218, 0.007985, 3.350233
24, 3.481755, 0.004379, 3.477376
25, 3.335897, 0.019664, 3.316233
26, 3.269904, 0.000000, 3.269904
27, 3.333928, 0.031242, 3.302686
28, 3.200720, 0.000000, 3.200720
29, 3.219469, 0.000000, 3.219469
30, 3.194437, 0.015639, 3.178798

=== Statistics (Threads=10) ===
Average Wall-Clock Time: 3.2780 s
Average ideal work: 3.2780 s
