Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 0.351324, 0.048045, 0.303483
2, 0.350922, 0.047158, 0.303969
3, 0.354287, 0.046545, 0.307918
4, 0.358791, 0.048214, 0.310744
5, 0.357691, 0.048137, 0.309760
6, 0.356278, 0.047272, 0.309212
7, 0.351445, 0.047828, 0.303824
8, 0.356591, 0.048166, 0.308600
9, 0.358104, 0.048990, 0.309320
10, 0.352276, 0.047628, 0.304871
11, 0.350637, 0.047274, 0.303567
12, 0.352178, 0.048034, 0.304348
13, 0.351164, 0.047025, 0.304309
14, 0.351771, 0.047016, 0.304960
15, 0.351768, 0.047748, 0.304194
16, 0.353377, 0.048440, 0.305143
17, 0.356956, 0.047662, 0.309472
18, 0.352961, 0.047754, 0.305410
19, 0.354443, 0.047408, 0.307241
20, 0.354185, 0.047701, 0.306656
21, 0.352442, 0.047609, 0.305035
22, 0.353649, 0.048306, 0.305547
23, 0.355471, 0.048459, 0.307216
24, 0.355052, 0.048872, 0.306385
25, 0.355355, 0.047263, 0.308264
26, 0.352059, 0.048308, 0.303958
27, 0.351067, 0.047817, 0.303421
28, 0.353226, 0.048046, 0.305353
29, 0.353527, 0.048468, 0.305264
30, 0.354191, 0.047532, 0.306863

=== Statistics (N=11) ===
Average Wall-Clock Time: 0.3538 s
Average ideal work: 0.3540 s
