Run,TotalTime_s,SerialTime_s,ParallelTime_s
1, 5.107149, 0.715000, 4.392312
2, 5.078866, 0.715415, 4.363681
3, 5.079208, 0.709043, 4.370406
4, 5.071810, 0.708712, 4.363276
5, 5.027981, 0.696933, 4.331229
6, 5.038193, 0.703244, 4.335152
7, 5.015174, 0.702287, 4.313060
8, 5.087938, 0.701113, 4.386992
9, 5.199432, 0.745507, 4.454268
10, 5.254763, 0.722816, 4.532151
11, 5.108090, 0.723235, 4.385782
12, 5.076634, 0.713915, 4.362990
13, 5.065177, 0.713804, 4.351612
14, 5.038792, 0.719383, 4.319609
15, 5.130834, 0.706644, 4.424393
16, 5.107600, 0.712501, 4.395364
17, 5.026714, 0.718258, 4.308723
18, 5.058940, 0.718619, 4.340585
19, 5.046473, 0.722135, 4.324605
20, 5.107790, 0.710437, 4.397621
21, 5.086949, 0.715471, 4.371682
22, 5.115228, 0.712447, 4.403016
23, 5.082071, 0.710887, 4.371438
24, 5.048000, 0.720008, 4.328258
25, 5.106334, 0.720531, 4.386043
26, 5.085335, 0.718362, 4.367246
27, 5.018131, 0.720530, 4.297888
28, 5.034614, 0.722638, 4.312242
29, 5.031645, 0.727831, 4.304086
30, 5.037101, 0.714504, 4.322864

=== Statistics (Threads=11) ===
Average Wall-Clock Time: 5.0791 s
Average ideal work: 5.0794 s
